Title,Platform,Imbibed,Completed,Favorite
Kingdom Hearts II,PlayStation 2,TRUE,,
Kirby 64: The Crystal Shards,Nintendo 64,TRUE,TRUE,
Kirby's Avalanche,Nintendo Super NES,,,
Kirby's Dream Course,Nintendo Super NES,TRUE,,
Kirby's Dream Land,Game Boy,TRUE,,
Kirby's Dreamland 2,Game Boy,TRUE,,
Kirby's Epic Yarn,Nintendo Wii,,,
Lagoon,Nintendo Super NES,TRUE,,
Legend Of Legaia,PlayStation,TRUE,,
Legend of Mana,PlayStation,TRUE,,
Legend of the River King,Game Boy Color,TRUE,,
LEGO Racers,Nintendo 64,TRUE,TRUE,
Lightning Returns: Final Fantasy XIII,PlayStation 3,TRUE,,
Lord of the Rings The Return of the King,GameCube,TRUE,,
Lufia II: Rise of the Sinistrals,Nintendo Super NES,TRUE,TRUE,
Lufia: The Ruins of Lore,Game Boy Advance,TRUE,,
Luigi's Mansion,Gamecube,TRUE,,
Luigi's Mansion 3,Nintendo Switch,TRUE,TRUE,
Madden NFL 2000,Nintendo 64,,,
Magi-Nation GBC,Game Boy Color,TRUE,,
Mario &amp; Luigi Superstar Saga,Game Boy Advance,TRUE,,
Mario Golf,Nintendo 64,TRUE,,
Mario is Missing!,Nintendo Super NES,TRUE,,
Mario Kart 64,Nintendo 64,TRUE,,
Mario Paint,Nintendo Super NES,TRUE,,
Mario Party,Nintendo 64,TRUE,,
Mario Party 4,GameCube,TRUE,,
Mario Pinball Land,Game Boy Advance,TRUE,,
Mario Tennis,Nintendo 64,TRUE,,
Medal of Honor Frontline,PlayStation 2,TRUE,TRUE,
Medal of Honor Rising Sun,PlayStation 2,TRUE,,
Mega Man,Game Boy,TRUE,,
Metal Arms Glitch in System,GameCube,TRUE,,
Metal Gear Solid HD Collection,PlayStation 3,,,
Metal Gear Solid: The Legacy Collection,PlayStation 3,,,
Metroid Prime,GameCube,TRUE,TRUE,
Metroid Prime 2: Echoes,GameCube,TRUE,,
Metroid Prime 3: Corruption,Nintendo Wii,,,
Metroid Prime Trilogy: Collector's Edition,Nintendo Wii,TRUE,,
Mischief Makers,Nintendo 64,TRUE,,
Monopoly,Nintendo Wii,TRUE,,
Monster Rancher Battlecard,Game Boy Color,TRUE,,
Moonlighter,Nintendo Switch,TRUE,TRUE,
New Super Mario Bros,Nintendo DS,TRUE,,
Ni No Kuni: Wrath of the White Witch,PlayStation 3,TRUE,,
Nintendogs Chihuahua & Friends,Nintendo DS,TRUE,,
Octopath Traveler,Nintendo Switch,TRUE,TRUE,
Octopath Traveler 0,Nintendo Switch,,,
Octopath Traveler II,Nintendo Switch,,,
Ogre Battle 64,Nintendo 64,TRUE,,
Ogre Battle 64: Person of Lordly Caliber,Nintendo 64,TRUE,,
Ogre Battle: The March of the Black Queen,Nintendo Super NES,TRUE,,
Ogre Battle: The March of the Black Queen,PlayStation,TRUE,,
Pac-Man,Game Boy,TRUE,,
Paladin's Quest,Nintendo Super NES,TRUE,,
Paper Mario,Nintendo 64,TRUE,,
Paper Mario: The Origami King,Nintendo Switch,,,
Paper Mario: The Thousand-Year Door,GameCube,TRUE,,
Perfect Dark,Nintendo 64,TRUE,,
Peter Jackson's King Kong,PlayStation 2,,,
Peter Jackson's King Kong,Xbox,,,
Pikmin,GameCube,TRUE,,
Pitfall: The Mayan Adventure,Super Nintendo,TRUE,,
Pokemon - Blue Version,Game Boy,TRUE,TRUE,
Pokemon - Diamond Version,Nintendo DS,,,
Pokemon - Red Version,Game Boy,TRUE,TRUE,
Pokemon - Trading Card Game,Game Boy Color,TRUE,,
Pokemon Crystal Version,Game Boy Color,TRUE,,
Pokemon Emerald Version,Game Boy Advance,TRUE,,
Pokemon Gold,Game Boy Color,TRUE,,
Pokemon Silver Version,Game Boy Color,TRUE,,
Pokemon Snap,Nintendo 64,TRUE,TRUE,
Pokemon Stadium,Nintendo 64,TRUE,,
"Pokemon: Let's Go, Pikachu!",Nintendo Switch,TRUE,TRUE,
Pokemon: Yellow Version - Special Pikachu Edition,Game Boy,TRUE,,
Pokémon Sun,Nintendo 3DS,,,
Pokémon X,Nintendo 3DS,TRUE,TRUE,
Poochy & Yoshi's Woolly World,Nintendo 3DS,,,
Prince of Persia: The Sands of Time,Game Boy Advance,,,
Quake 64,Nintendo 64,TRUE,,
Quest 64,Nintendo 64,TRUE,,
Quest for Camelot,Game Boy Color,TRUE,,
Rampart,Game Boy Color,TRUE,,
Rapala Fishing Frenzy,Nintendo Wii,,,
Rayman 2: The Great Escape,Nintendo 64,TRUE,,
Revelations: Demon Slayer,Game Boy,TRUE,,
Rise of Kasai,PlayStation 2,,,
Robopon: Sun Version,Game Boy Color,TRUE,,
RPG Maker,PlayStation,TRUE,,
RPG Maker 2,PlayStation 2,TRUE,,
RPG Maker 3,PlayStation 2,TRUE,,
Secret of Evermore,Nintendo Super NES,TRUE,TRUE,
Secret of Mana,Nintendo Super NES,TRUE,,
Silent Hunter III,Windows XP,,,
Skies of Arcadia : Legends,GameCube,TRUE,,
Soldier of Fortune (Gold Edition),PlayStation 2,,,
Soul Calibur II,GameCube,TRUE,,
Soul Calibur II,Xbox,,,
Soul Calibur IV,PlayStation 3,TRUE,,
Soul Calibur V - Playstation 3,PlayStation 3,TRUE,,
Space Station: Silicon Valley,Nintendo 64,TRUE,,
Sphinx and the Cursed Mummy,PlayStation 2,TRUE,,
Spider-Man 2,Nintendo DS,,,
Star Fox,Nintendo Super NES,TRUE,,
Star Fox 64,Nintendo 64,TRUE,TRUE,
Star Fox Adventures,GameCube,TRUE,TRUE,
Star Fox Assault,GameCube,TRUE,,
Star Wars Knights of the Old Republic II: The Sith Lords,Xbox,,,
Star Wars Republic Commando,Xbox,,,
Star Wars: Battle for Naboo,Nintendo 64,TRUE,,
Star Wars: Rogue Squadron,Nintendo 64,TRUE,,
Star Wars: Shadows of the Empire,Nintendo 64,TRUE,,
Star Wars: The Clone Wars,GameCube,TRUE,TRUE,
Suikoden Tactics,PlayStation 2,,,
Super Castlevania IV,Super Nintendo,TRUE,,
Super Dodge Ball Advance,Game Boy Advance,TRUE,,
Super Ghouls 'N Ghosts,Nintendo Super NES,TRUE,,
Super Mario 3D World + Bowser's Fury,Nintendo Switch,TRUE,,
Super Mario 64,Nintendo 64,TRUE,TRUE,
Super Mario 64 DS,Nintendo DS,TRUE,,
Super Mario All Stars,Super Nintendo,TRUE,,
Super Mario Bros.,Nintendo NES,TRUE,,
Super Mario Bros. / Duck Hunt,Nintendo NES,TRUE,,
Super Mario Bros. 2,Nintendo NES,TRUE,,
Super Mario Bros. 3,Nintendo NES,TRUE,,
Super Mario Bros. Deluxe,Game Boy Color,TRUE,,
Super Mario Galaxy,Nintendo Wii,TRUE,,
Super Mario Kart,Nintendo Super NES,TRUE,,
Super Mario Land,Game Boy,TRUE,,
Super Mario Land 2: 6 Golden Coins,Game Boy,TRUE,,
Super Mario Odyssey,Nintendo Switch,TRUE,TRUE,
Super Mario RPG: Legend of the Seven Stars,Nintendo Super NES,TRUE,TRUE,
Super Mario Sunshine,GameCube,TRUE,,
Super Mario World,Super Nintendo,TRUE,,
Super Mario World 2: Yoshi's Island,Nintendo Super NES,TRUE,TRUE,
Super Paper Mario,Nintendo Wii,TRUE,,
Super Smash Bros Melee,GameCube,TRUE,TRUE,
Super Smash Bros.,Nintendo 64,TRUE,TRUE,
Super Smash Bros. Brawl,Nintendo Wii,TRUE,TRUE,
Super Smash Bros. Ultimate,Nintendo Switch,TRUE,TRUE,
Super Smash Brothers,Nintendo 3DS,TRUE,TRUE,
Sword of Mana,Game Boy Advance,TRUE,,
Tactics Ogre: Let Us Cling Together,Sony PSP,TRUE,,
